Year,Álava,Albacete,Alicante,Almería,Ávila,Badajoz,Baleares,Barcelona,Burgos,Cáceres,Cádiz,Castellón,Ciudad real,Córdoba,Coruña,Cuenca,Gerona,Granada,Guadalajara,Guipúzcoa,Huelva,Huesca,Jaén,León,Lérida,Logroño,Lugo,Madrid,Málaga,Murcia,Navarra,Ourense,Oviedo,Palencia,Palmas,Pontevedra,Salamanca,Santa cruz de tenerife,Santander,Segovia,Sevilla,Soria,Tarragona,Teruel,Toledo,Valencia,Valladolid,Vizcaya,Zamora,Zaragoza,Ceuta,Melilla
1977,3,4,10,4,3,6,6,37,4,4,9,4,5,7,10,3,5,7,2,7,4,3,6,5,4,3,4,37,8,8,5,5,10,3,7,8,4,7,5,2,12,2,5,2,5,17,5,10,3,8,2,1
1979,5,4,10,4,3,6,6,38,4,4,9,4,5,7,10,3,5,7,2,7,4,3,6,5,4,3,4,37,9,8,5,4,10,2,6,8,4,6,5,2,12,2,5,2,5,17,5,11,3,7,2,1
1982,3,4,10,4,2,6,6,38,4,4,9,4,5,7,10,3,5,7,2,6,4,3,6,5,4,3,4,38,9,9,5,4,10,2,7,8,4,6,5,2,13,2,5,2,5,17,5,10,3,8,2,1
1986,3,4,11,5,2,6,6,38,4,4,9,5,5,7,10,3,5,7,2,7,4,3,6,5,4,3,4,40,10,9,5,4,10,3,7,8,4,7,5,2,2,2,5,2,5,18,5,11,3,8,2,1
1989,3,4,10,4,2,6,6,37,4,4,9,4,5,7,10,3,5,7,2,6,4,3,6,5,4,3,4,38,10,9,5,4,10,2,7,8,4,7,5,2,13,2,5,2,5,17,5,10,3,7,2,1
1993,3,4,11,5,2,6,6,37,4,4,9,4,5,7,9,3,5,7,2,6,4,3,6,5,4,3,4,39,10,9,5,4,9,2,7,6,4,7,5,2,14,2,5,2,5,17,5,10,3,7,2,1
1996,3,4,11,5,2,6,7,36,4,4,9,4,5,7,9,3,5,7,2,6,4,3,6,5,4,3,4,38,10,9,5,4,9,2,7,8,4,7,5,2,14,2,5,2,5,17,5,9,3,7,2,1
2000,3,4,12,5,2,6,7,36,4,4,9,4,4,7,9,2,5,7,2,6,4,3,6,5,4,3,4,39,10,9,5,4,9,2,8,8,4,7,5,2,14,2,5,2,5,17,5,9,2,7,2,1
2004,3,4,13,5,2,6,8,37,3,4,9,5,4,6,9,2,5,7,2,6,4,2,6,4,4,3,3,41,11,10,5,3,8,2,8,7,3,7,5,2,14,2,6,2,5,17,5,9,2,7,2,1
2008,3,4,13,5,2,5,8,37,3,4,9,5,4,6,8,2,6,7,3,6,4,2,5,4,4,3,3,42,11,10,5,3,8,2,8,7,3,8,5,2,13,2,6,2,5,18,4,9,2,7,2,1
2011,3,4,13,5,2,5,8,36,3,4,9,5,4,6,8,2,6,7,3,6,4,2,5,4,4,3,3,43,11,10,5,3,8,2,8,7,3,8,5,2,13,2,6,2,6,17,4,8,2,7,2,2
