Year,Álava,Albacete,Alicante,Almería,Ávila,Badajoz,Baleares,Barcelona,Burgos,Cáceres,Cádiz,Castellón,Ciudad real,Córdoba,Coruña,Cuenca,Gerona,Granada,Guadalajara,Guipúzcoa,Huelva,Huesca,Jaén,León,Lérida,Logroño,Lugo,Madrid,Málaga,Murcia,Navarra,Ourense,Oviedo,Palencia,Palmas,Pontevedra,Salamanca,Santa cruz de tenerife,Santander,Segovia,Sevilla,Soria,Tarragona,Teruel,Toledo,Valencia,Valladolid,Vizcaya,Zamora,Zaragoza,Ceuta,Melilla
1977,4,4,9,5,3,6,6,33,4,5,9,5,5,7,9,4,5,7,3,7,5,3,6,6,4,4,5,32,8,8,5,5,10,3,7,8,4,7,5,3,12,3,5,3,5,15,5,10,4,8,1,1
1979,6,4,9,5,3,6,6,33,4,5,9,5,5,7,9,3,5,7,3,7,5,3,6,6,4,4,5,32,8,8,5,5,10,3,7,8,4,7,5,3,12,3,5,3,5,15,5,10,4,7,1,1
1982,4,4,10,5,3,6,6,33,4,5,9,5,5,7,9,3,5,7,3,7,5,3,6,5,4,4,5,33,9,8,5,5,10,3,7,8,4,6,5,3,12,3,5,3,5,16,5,10,4,7,1,1
1986,4,4,10,5,3,7,7,33,4,5,9,5,5,7,9,3,5,7,3,7,5,3,6,6,4,4,5,34,10,9,5,5,10,3,7,8,4,7,6,3,3,3,6,3,5,16,5,10,3,8,1,1
1989,4,4,10,5,3,6,6,32,4,5,9,5,5,7,9,3,5,7,3,7,5,3,6,5,4,4,5,33,10,9,5,5,9,3,7,8,4,7,5,3,12,3,5,3,5,16,5,10,3,7,1,1
1993,4,4,10,5,3,6,7,32,4,5,9,5,5,7,9,3,5,7,3,6,5,3,6,5,4,4,5,34,10,9,5,4,9,3,7,6,4,7,5,3,13,3,6,3,5,16,5,10,3,7,1,1
1996,4,4,11,5,3,6,7,31,4,5,9,5,5,7,9,3,5,7,3,6,5,3,6,5,4,4,4,34,10,9,5,4,9,3,7,8,4,7,5,3,13,3,6,3,5,16,5,9,3,7,1,1
2000,4,4,11,5,3,6,7,31,4,4,9,5,5,7,9,3,5,7,3,6,5,3,6,5,4,4,4,34,10,9,5,4,9,3,8,8,4,7,5,3,13,3,6,3,5,16,5,9,3,7,1,1
2004,4,4,12,5,3,6,8,32,4,4,9,5,5,6,8,3,6,7,3,6,5,3,6,5,4,4,4,35,10,9,5,4,8,3,8,7,4,7,5,3,12,3,6,3,5,16,5,9,3,7,1,1
2008,4,4,12,6,3,6,8,31,4,4,8,5,5,6,8,3,6,7,3,6,5,3,6,5,4,4,4,35,10,10,5,4,8,3,8,7,4,7,5,3,12,3,6,3,6,16,5,8,3,7,1,1
2011,4,4,12,6,3,6,8,31,4,4,9,5,5,6,8,3,6,7,3,6,5,3,6,5,4,4,4,36,10,10,5,4,8,3,8,7,4,7,5,3,12,2,6,3,6,15,5,8,3,7,1,1
