Year,Álava,Albacete,Alicante,Almería,Ávila,Badajoz,Baleares,Barcelona,Burgos,Cáceres,Cádiz,Castellón,Ciudad real,Córdoba,Coruña,Cuenca,Gerona,Granada,Guadalajara,Guipúzcoa,Huelva,Huesca,Jaén,León,Lérida,Logroño,Lugo,Madrid,Málaga,Murcia,Navarra,Ourense,Oviedo,Palencia,Palmas,Pontevedra,Salamanca,Santa cruz de tenerife,Santander,Segovia,Sevilla,Soria,Tarragona,Teruel,Toledo,Valencia,Valladolid,Vizcaya,Zamora,Zaragoza,Ceuta,Melilla
1977,3,4,11,5,3,7,7,44,4,5,10,5,6,8,11,3,5,8,2,8,5,3,7,6,4,3,5,43,10,10,6,5,12,3,8,9,4,8,6,2,14,2,6,3,5,19,5,12,3,9,2,2
1979,6,4,11,5,3,7,7,44,4,5,10,5,6,8,11,3,5,8,2,7,5,3,7,6,4,3,5,43,10,10,6,5,12,3,7,9,4,7,6,2,14,2,6,2,5,20,5,12,3,9,2,2
1982,3,4,12,5,3,7,7,44,4,5,10,5,5,8,11,3,5,8,2,7,5,3,7,6,4,3,5,44,11,10,6,5,12,3,8,9,4,7,6,2,15,2,6,2,5,20,5,12,3,9,2,1
1986,4,4,12,5,3,7,7,45,4,5,11,5,6,8,11,3,6,8,2,8,5,3,7,6,4,3,5,46,12,11,6,5,11,3,8,9,4,8,6,2,2,2,6,2,6,21,6,12,3,9,2,1
1989,3,4,12,5,3,7,7,43,4,5,11,5,5,8,11,3,5,8,2,7,5,3,7,6,4,3,5,44,11,10,6,5,11,3,8,9,4,8,6,2,15,2,6,2,5,20,5,12,3,9,2,1
1993,3,4,13,5,3,7,7,43,4,5,11,5,5,8,11,3,6,8,2,7,5,3,7,6,4,3,4,46,11,10,6,4,11,3,8,6,4,8,6,2,16,2,6,2,5,20,5,11,3,9,2,2
1996,3,4,13,5,2,7,8,41,4,5,11,5,5,8,11,3,6,8,2,7,5,3,7,6,4,3,4,45,12,11,6,4,10,3,8,9,4,8,6,2,16,2,6,2,5,20,5,11,3,8,2,2
2000,3,4,13,5,2,7,8,41,4,4,11,5,5,8,10,3,6,8,2,7,5,3,7,5,4,3,4,46,12,11,6,4,10,3,9,9,4,8,6,2,16,2,6,2,6,20,5,11,3,8,2,2
2004,3,4,14,6,2,6,9,42,4,4,10,5,5,7,10,3,6,8,3,7,5,3,6,5,4,3,4,48,12,11,6,4,10,2,9,9,4,9,5,2,15,2,6,2,6,20,5,10,3,8,2,2
2008,3,4,15,6,2,6,9,42,4,4,10,5,5,7,10,3,6,8,3,6,5,3,6,5,4,3,4,48,13,12,6,4,9,2,9,8,4,9,5,2,15,2,7,2,6,20,5,10,2,8,2,2
2011,3,4,15,6,2,6,9,42,4,4,10,5,5,7,9,3,7,8,3,6,5,3,6,5,4,3,4,49,13,12,6,3,9,2,9,8,4,9,5,2,15,2,7,2,6,20,5,10,2,8,2,2
